"","CBSA","TotalPeople","TotalTech","MedianAge","PercentHighSchool","PercentCollege","PercentPostGrad","MedianIncome","PercentFemale","PercentBornOutOfState","PercentImmigrant","Percent18to35","PercentTech","MedianRent","MedianHouseValue","DiversityIndex"
"52","Daphne-Fairhope-Foley, AL",203771,946,42,0.712451722767224,0.218907499104387,0.0566076625231264,20000,0.515102737877323,0.466131098144486,0.0381702990121264,0.196730643712795,0.464246629795211,700,170000,0.298320116949288
"53","Davenport-Moline-Rock Island, IA-IL",318185,4726,39.6904761904762,0.699058723698477,0.201829124565897,0.0808586199852287,25000,0.508047205242233,0.373568835740214,0.0626490877948363,0.224174615396703,1.48529943271996,600,130000,0.386945490964792
"54","Dayton, OH",800700,13831,39,0.699565380292244,0.205101785937305,0.0831297614587236,22200,0.513594354939428,0.306647933058574,0.0491844635943549,0.240034969401773,1.72736355688772,600,120000,0.384993902940148
"55","Decatur, IL",107245,843,41,0.699939391113805,0.142468180334748,0.0364958739335167,20000,0.519063825819385,0.177798498764511,0.0221269056832486,0.230537554198331,0.786050631731083,492.432432432432,90000,0.383968409519183
"56","Detroit-Warren-Dearborn, MI",4214912,59483,39,0.69120707620942,0.218634695101582,0.0834567839138753,22100,0.514539093580127,0.248249073764767,0.106423336952231,0.226666891266057,1.41125129065565,700,150000,0.504305104590168
"57","Dover, DE",173819,1356,36,0.670548098884472,0.150150443852513,0.0527330153780657,22654.7619047619,0.518648709289548,0.515087533583785,0.0697046928126384,0.256076723488226,0.780121850890869,850,204967.105263158,0.538924363062476
"58","Dunn, NC",128392,1086,33,0.623761605084429,0.127126300704094,0.0478067169294037,19099.1964285714,0.504517415415291,0.453065611564583,0.0946943734812138,0.268225434606518,0.84584709327684,576.180124223602,145000,0.565253548509442
"59","Durham-Chapel Hill, NC",443333,9672,34,0.701402783009611,0.356131846715674,0.171074564717718,23000,0.524168063284258,0.525821447986051,0.161675309530308,0.309805496094358,2.18165577568103,780,210000,0.641743704012443
"60","East Stroudsburg, PA",166692,2523,41,0.69756796966861,0.187903438677321,0.0529179564706165,19951.0638297872,0.5159755717131,0.576386389268831,0.125062990425455,0.232170710052072,1.51356993736952,738.448979591837,160000,0.51051608314776
"61","El Centro, CA",180355,250,32,0.500324360289429,0.0991821685010119,0.0292367830112833,10100,0.488819273100274,0.413290454936098,0.346100745751435,0.265592858529012,0.138615508303069,610,180000,0.300480498341271
"62","El Paso, TX",835217,6145,32,0.566698235308908,0.145543014569866,0.0412180307632627,16000,0.507132876845179,0.43156688621041,0.272007155026777,0.272956608881285,0.735736940220326,650,110000,0.319656748565486
"63","Elkhart-Goshen, IN",203601,135,35,0.588744652531176,0.121016105028954,0.0416304438583308,21000,0.507310867824814,0.330297984783965,0.08471471161733,0.230323033776848,0.0663061576318387,600,125000,0.403049685469145
"64","Erie, PA",278144,1900,39,0.714996548550391,0.184720864012885,0.055762482742752,21000,0.510142228485964,0.190818424988495,0.0466305223193741,0.238610216290842,0.683099401748735,524.07960199005,120000,0.272482466042678
"65","Eugene, OR",363328,3694,38,0.737325502025718,0.215268297516294,0.0737763123128413,18396.7065868264,0.510808415536375,0.522494825612119,0.0661275761846045,0.271677382420292,1.01671217192179,760,225000,0.307373482358705
"66","Eureka-Arcata-Fortuna, CA",135055,1620,37,0.721965125319314,0.196053459701603,0.0747695383362334,18500,0.506038280700455,0.299218836770205,0.0555995705453334,0.279064085002406,1.19951131020695,826.602787456446,275000,0.416013849322122
"67","Evansville, IN-KY",181786,1378,37,0.690900289351215,0.176009153620191,0.0578977479013785,20319.0751445087,0.517911170277139,0.291931171817412,0.0343590815574357,0.253380348321653,0.758034172048453,500,120000,0.286721910857733
"68","Fargo, ND-MN",172249,4456,32,0.737745937567127,0.226967935953184,0.0607144308530093,28452.2058823529,0.501912928376943,0.452020040754954,0.0666941462650001,0.347665298492299,2.58695260930397,690,190000,0.232757656805745
"69","Fayetteville-Springdale-Rogers, AR-MO",474380,8054,33,0.643669631940638,0.208674480374383,0.0729141194822716,22500,0.507306378852397,0.541953707997808,0.130378599435052,0.273082760656014,1.69779501665332,600,160000,0.436807784190475
"70","Fayetteville, NC",324801,2598,32,0.678593969846152,0.169617704378989,0.0569733467569373,19953.0303030303,0.504989208777067,0.547255088500343,0.109771829520229,0.30771149103605,0.7998743846232,700,130000,0.658317779756394
"71","Flagstaff, AZ",139457,737,30,0.714621711351886,0.205841227044896,0.0887657127286547,15609.8591549296,0.511648751945044,0.467735574406448,0.0460643782671361,0.360390658052303,0.528478312311322,1000,2e+05,0.595519010416275
"72","Fort Collins, CO",333813,8262,35,0.762552686683862,0.325691330175877,0.120396749078077,25160.6060606061,0.497700808536516,0.608864843490218,0.0660849038233981,0.307001225236884,2.47503841971403,992.056074766355,285000,0.296837363153483
"73","Fort Wayne, IN",368939,3861,35,0.648516421413838,0.188708702522639,0.0574756260520032,23600,0.510889334009145,0.314650931454793,0.0685858637877806,0.24322720016046,1.04651446445076,570,120000,0.425596599437934
"74","Fresno, CA",973514,6001,31,0.548867299288968,0.119224787727757,0.0388664158912969,15000,0.501233675119207,0.340332034259394,0.224044030183439,0.272830180151492,0.616426676966125,750,2e+05,0.620203286438603
"75","Gadsden, AL",103007,440,41,0.647402603706544,0.129369848651063,0.0438805129748464,18200,0.511955498170027,0.174648324871125,0.0315900861106527,0.207209218790956,0.427155436038327,450,92000,0.359349403577333
"76","Gainesville, FL",260383,4546,31,0.764566043098052,0.295714389956334,0.130937887650115,16758.5798816568,0.51573643440624,0.49699097099273,0.138238671495451,0.382574899282979,1.74588970862153,730,173810.810810811,0.561217008169988
"77","Gainesville, GA",193674,1860,35.7627118644068,0.576654584507988,0.148827411010254,0.0554901535570082,20000,0.503665954129104,0.415440379193903,0.175315220421946,0.237610624038332,0.960376715511633,680,175000,0.539221418015371
"78","Goldsboro, NC",123951,361,37,0.659647764035788,0.155795435292979,0.052327129268824,19840.5172413793,0.516615436745165,0.414817145484909,0.110463005542513,0.242765286282483,0.291244120660584,531.428571428571,112267.441860465,0.596373085577794
"79","Grand Rapids-Wyoming, MI",916174,12413,34,0.679619810210724,0.219503063828487,0.0670647715390308,23000,0.508730874266242,0.239040837220877,0.0896783798710725,0.270191033580957,1.35487363754047,690,150000,0.383559607869163
"80","Green Bay, WI",258174,2787,37,0.691126914406563,0.20222795479018,0.0614004508587232,26700,0.49428292546887,0.268807083594785,0.0623997768946524,0.244590857328778,1.0795045202073,630,150000,0.319256997084744
"81","Greensboro-High Point, NC",659590,7463,37,0.668638093361027,0.207313634227323,0.0737397474188511,20300,0.521645264482481,0.382992465016146,0.098254976576358,0.246544065252657,1.13146045270547,600,150000,0.58300381241124
"82","Greenville-Anderson-Mauldin, SC",194471,1010,41,0.660406950136524,0.141419543273804,0.0434974880573453,19200,0.517799569087422,0.351574270713885,0.0328995068673478,0.201685598366852,0.519357642013462,500,135000,0.371152710320066
"83","Greenville, NC",176471,1066,31,0.701996362008489,0.189096225442141,0.0637271846365692,17100,0.526613437901978,0.340509205478521,0.0554482039541908,0.328971899065569,0.604065257181067,520,135000,0.570379692035665
"84","Gulfport-Biloxi-Pascagoula, MS",342922,1859,37,0.65788721633491,0.143589504318766,0.0567563469243735,19000,0.509981861764483,0.442867474236124,0.0649535462874939,0.241046068785321,0.542105784989006,630,130000,0.509181846291673
"85","Hagerstown-Martinsburg, MD-WV",149902,1608,40,0.678703419567451,0.145855292124188,0.0489853370868968,21655.6074766355,0.490533815426078,0.358040586516524,0.059712345398994,0.231251084041574,1.07270083120972,746.986301369863,190893.442622951,0.340957612678037
"86","Hanford-Corcoran, CA",151088,367,31,0.53550910727523,0.105958117123795,0.0279505983268029,13200,0.44215291750503,0.343243672561686,0.183621465635921,0.302783808111829,0.242904797204278,750,175000,0.599385484221312
"87","Harrisburg-Carlisle, PA",273115,4342,39,0.674334987093349,0.197587097010417,0.0676564817018472,25000,0.516639510828772,0.282181498636106,0.0881167273858997,0.231986525822456,1.58980649177087,740,150000,0.502093226799049
"88","Hartford-West Hartford-East Hartford, CT",1212693,22612,40,0.719811197063065,0.274832129813564,0.112326037999725,28360.824742268,0.51418702012793,0.416326308472136,0.173069358856693,0.23807509402627,1.8646104166512,870,240000,0.498651655871602
"89","Hickory-Lenoir-Morganton, NC",155076,1111,41,0.65164177564549,0.172889421960845,0.0597642446284402,18000,0.503985142768707,0.366310712166938,0.0787033454564214,0.207040418891382,0.716422915215765,500,125000,0.401494184556979
"90","Hilo, HI",196257,1103,41,0.706762051799426,0.201888340288499,0.0627544495228196,22754.0983606557,0.514804567480396,0.433421483055381,0.126278298353689,0.213974533392439,0.562018170052533,1000,3e+05,0.73082277214
"91","Holland, MI",114388,578,38,0.691383711578138,0.137698010280799,0.0528377102493269,24000,0.50229919222296,0.176137357065426,0.0372067000034969,0.215022554813442,0.505297758506137,560,150000,0.211348331332243
"92","Homosassa Springs, FL",141208,568,55,0.72138264121013,0.128030989745623,0.0497705512435556,18267.9310344828,0.512223103506883,0.729739108265821,0.0767024531188035,0.13952467282307,0.402243498951901,580,1e+05,0.214774556190618
"93","Houma-Thibodaux, LA",113745,581,35,0.584983955338696,0.112163172007561,0.0259176227526485,16793.9189189189,0.501762714844609,0.168719504154029,0.0572596597652644,0.243949184579542,0.510791683150908,700,130000,0.507154916520317
"94","Houston-The Woodlands-Sugar Land, TX",6460776,82580,34,0.604049885029291,0.214147650375125,0.0747281750675151,22100,0.503246978381544,0.468455027693268,0.250439575679454,0.2611653770383,1.27817463413064,810,164000,0.694695487351036
"95","Idaho Falls, ID",109994,1265,32,0.610933323635835,0.177300580031638,0.0607214938996673,19000,0.499690892230485,0.456306707638598,0.0590759495972508,0.244558794116043,1.1500627306944,614.021276595745,160000,0.287609376034911
"96","Indianapolis-Carmel-Anderson, IN",1377318,16491,35,0.654747124483961,0.207456810990635,0.0638973715583475,22000,0.514350353367922,0.300274882053382,0.0760267418272323,0.263970992900695,1.19732697895475,640,128000,0.508433287390377
"97","Iowa City, IA",143981,1803,30,0.77344927455706,0.303977608156632,0.123634368423611,23305.785123967,0.506073718060022,0.399101270306499,0.0966030240101124,0.386856599134608,1.25224856057396,721.906077348066,186209.677419355,0.352145642642359
"98","Ithaca, NY",105554,2828,30,0.843482956590939,0.350607272107168,0.181499516834985,19307.1428571429,0.513481251302651,0.462947875021316,0.141273660875002,0.434753775318794,2.67919737764557,980,195000,0.397136321349927
"99","Jackson, MI",159422,1345,40,0.70319027486796,0.153498262473184,0.0435008969903777,21458.5567010309,0.488828392568152,0.178124725571126,0.0206997779478366,0.222177616640112,0.843672767873945,600,130000,0.266393100397538
"100","Jacksonville, FL",1116318,15085,36,0.683566868938779,0.202895590682942,0.0610489125858402,22000,0.514729673802626,0.512905820742835,0.117217495373182,0.260173176460471,1.35131745613705,800,150000,0.588064215782631
"101","Jamestown-Dunkirk-Fredonia, NY",130930,367,42,0.704964484839227,0.15619796838005,0.0559917513174979,20000,0.503979225540365,0.227495608340335,0.03780646146796,0.230886733368976,0.280302451691744,459.518072289157,85000,0.224864298665723
"102","Janesville-Beloit, WI",161189,1642,39,0.694600748190013,0.167635508626519,0.0592720346921936,24200,0.515153019126615,0.295628113580952,0.0353684184404643,0.22155357995893,1.018679934735,630,135000,0.300295390004378
"103","Johnson City, TN",126727,728,40,0.715459215478943,0.210902175542702,0.075745500169656,17187.3315363881,0.506734949931743,0.426089152272207,0.0511256480465883,0.25381331523669,0.574463216204913,530,150000,0.204632878540514
"104","Johnstown, PA",136857,561,45,0.736703274220537,0.152626464119482,0.0602380587036103,19000,0.503825160569061,0.132349824999817,0.0228121323717457,0.212367653828449,0.409916920581337,450,85000,0.134148806293316
"105","Kalamazoo-Portage, MI",260577,4161,34,0.737252328486398,0.266957559569724,0.110274506192028,22000,0.510532395414791,0.264701028870545,0.0553847806982197,0.303092751854538,1.59684085702115,620,145000,0.371704258920507
"106","Kankakee, IL",111521,756,37,0.657750558190834,0.148016965414586,0.0498650478385237,20000,0.501842702271321,0.231436231741107,0.0615399790174048,0.234556720258965,0.677899229741484,700,130042.735042735,0.448189392219808
"107","Kansas City, MO-KS",1431690,29388,36,0.675472343873325,0.27123679008724,0.0971292668105526,27412.538071066,0.514016302411835,0.480342811642185,0.0882313908737227,0.243054711564654,2.0526790017392,680,160000,0.506471120362206
"108","Killeen-Temple, TX",334771,3799,30,0.650803086288836,0.160172177398879,0.0475578828512625,20000,0.502343392946223,0.530861394804209,0.144140322787816,0.307422088532161,1.13480558351829,700,130000,0.673746599267366
"109","Knoxville, TN",127028,1845,42,0.686580911295148,0.174638662342161,0.0575227508895677,22244.7826086957,0.521365368265264,0.431164782567623,0.0346852662405139,0.211803696822748,1.45243568347136,500,165000,0.165155791340433
"110","La Crosse-Onalaska, WI-MN",118507,1513,36,0.753153822137089,0.203768553756318,0.0715738310817083,21000,0.516745846236931,0.280574143299552,0.048368450808813,0.288244576269756,1.2767178310142,650,155000,0.184373210974645
"111","Lafayette-West Lafayette, IN",185629,2378,28,0.721972321135167,0.224647010973501,0.0961326085902526,19755.2184466019,0.488000258580287,0.368218327955223,0.124215505120428,0.401149604857,1.28104983596313,651.769230769231,150000,0.386388221248984
"112","Lafayette, LA",240162,767,34,0.667836710220601,0.203995636278845,0.0618207709795888,20000,0.508877341128072,0.18730690117504,0.0434206910335524,0.289995919421057,0.319367760095269,643.928571428572,167049.019607843,0.492377485707581
"113","Lakeland-Winter Haven, FL",650324,4284,40,0.646007221015986,0.140660655304125,0.0455249998462305,18000,0.510460939470172,0.54764394363425,0.155351793875053,0.221966281422798,0.658748562255122,736.098484848485,120000,0.562334001956927
"114","Lancaster, PA",537212,4396,38,0.638170778016872,0.192365397645622,0.0700673104845015,24000,0.518389388174501,0.256902303001422,0.0717891633098293,0.228591319628005,0.818298921096327,790,190000,0.307630943061394
"115","Lansing-East Lansing, MI",286188,5425,31,0.742697108194613,0.258655149761695,0.104913553328581,20000,0.503609515423428,0.272268578696521,0.0998888842299468,0.351471759822215,1.89560708345563,680,120000,0.481014890089846
"116","Laredo, TX",269521,442,28,0.453018503196411,0.0968199138471585,0.023326568245146,13000,0.51173006927104,0.332953647396678,0.281740569380494,0.258881497174617,0.163994642346979,600,115000,0.0924960248202962
"117","Las Cruces, NM",214429,1557,32,0.605440495455372,0.160052977908772,0.0713149807162277,14400,0.503593263970825,0.612496444044416,0.188094893880958,0.277383189773771,0.726114471456753,596.478873239437,150000,0.469049627944608
"118","Las Vegas-Henderson-Paradise, NV",2114886,18640,36,0.648534247236021,0.162120322324702,0.0528808645004979,21300,0.501362248367051,0.757609157183886,0.241146804130341,0.250087711583509,0.881371383611221,850,2e+05,0.687195125605504
"119","Lawrence, KS",118048,2178,29.3666666666667,0.771110056925996,0.301512943887232,0.139824478178368,20000,0.496264231499051,0.449164746543779,0.0982820547573868,0.398363377609108,1.84501219842776,700,175000,0.372167550166452
"120","Lebanon, PA",137274,958,41,0.660197852470242,0.126418695455804,0.0484942523711701,24964.3010752688,0.513112461208969,0.206761659163425,0.0651980710112621,0.210542418812011,0.697874324344013,649.323394495413,155000,0.286294895017642
"121","Lewiston-Auburn, ME",106892,651,39.5432098765432,0.67985443251132,0.172809939003854,0.0663473412416271,21756.6761363636,0.51616584964263,0.229465254649553,0.0489559555439135,0.223496613404184,0.609025932717135,650,147127.272727273,0.168543824874253
"122","Lexington-Fayette, KY",314689,4432,34,0.718449008386057,0.284045517955823,0.118339058562581,22200,0.510535798836311,0.404621705874689,0.0993679474020382,0.310837048641675,1.40837461747948,650,165000,0.45432066040458
"123","Lima, OH",104203,606,39,0.694452175081332,0.137078586988858,0.0606604416379567,20000,0.501261959828412,0.199591182595511,0.0168421254666372,0.238995038530561,0.581557152865081,480,110000,0.326309046224366
"124","Lincoln, NE",306502,3879,32,0.724070316017514,0.254536675127732,0.0893142622234113,24000,0.505543193845391,0.374685972685333,0.0864105291319469,0.318829893442783,1.2655708608753,639.242424242424,160000,0.314735078066954
"125","Little Rock-North Little Rock-Conway, AR",509891,5593,36,0.672239753202155,0.221317889509719,0.0821861927353101,22000,0.521527149920277,0.337372105018524,0.0566532847216366,0.254289642296099,1.09690110239247,640,150000,0.541187587882242
"126","Longview, TX",124135,135,36,0.61504813308092,0.142578644217988,0.0432432432432432,20000,0.517186933580376,0.304893865549603,0.0886293148588231,0.235936681838321,0.108752567768961,650,127000,0.585072830429558
"127","Los Angeles-Long Beach-Anaheim, CA",13342144,170845,36,0.626873686867718,0.231672885557224,0.0783089284600736,20000,0.507413950861271,0.491842465498798,0.349906057077483,0.26898532949427,1.28049135131505,1200,5e+05,0.677389750802144
"128","Louisville/Jefferson County, KY-IN",879444,11799,38,0.696583295809625,0.226308895165582,0.0902865901637853,24000,0.515840690254297,0.345485329367191,0.0778582831880142,0.241176243171822,1.34164312906791,630,150000,0.460142275240595
"129","Lubbock, TX",299853,3128,30,0.654377311549326,0.172844693900011,0.0619203409670739,18500,0.509989895048574,0.265183273137171,0.0679933167251953,0.340743631045879,1.04317782380033,670,125000,0.579331442627407
"130","Macon-Bibb County, GA",154207,388,35,0.640424883435901,0.172573229490231,0.0694910088387687,15951.0080645161,0.536279157236701,0.26094794659127,0.0433637902300155,0.253976797421648,0.251609849098938,540,110000,0.545659243898342
"131","Madera, CA",154139,627,33.4815668202765,0.528114234554525,0.0955111944413808,0.0281628919352013,16254.2980501393,0.519693263872219,0.332758094966232,0.203673307858491,0.256288155496013,0.406775702450386,800,225000,0.5530860349341
"132","Madison, WI",523793,20891,35,0.757955910063708,0.369048459983238,0.129826095423192,30000,0.502043746289087,0.40966565036188,0.104972765959072,0.299702363338189,3.98840763431356,850,230000,0.34441522297274
"133","Mansfield, OH",121727,74,40,0.666458550691301,0.100273562972882,0.0298947645140355,19200,0.49841037731974,0.196850329014927,0.0125937548777182,0.224625596621949,0.0607917717515424,480,96397.7272727273,0.256829776660608
"134","McAllen-Edinburg-Mission, TX",842623,2707,29,0.431125188844833,0.100640499962617,0.0298259126560751,11000,0.513755261843078,0.384726028128831,0.291386539413237,0.256787436374274,0.321258736113303,550,80000,0.162350053006113
"135","Medford, OR",212335,1649,42,0.703477994678221,0.185880801563567,0.0691454541173146,20000,0.513801304542351,0.589328184237172,0.0573292203357901,0.220298113829562,0.776603009395531,730,240000,0.319170322057794
"136","Memphis, TN-MS-AR",1111005,13782,35,0.654296785343,0.195976615766806,0.0731202829870253,20000,0.52276092366821,0.428762246794569,0.0670285012218667,0.254037560587036,1.24049846760366,650,140000,0.59099475523587
"137","Merced, CA",268553,328,30,0.49849750328613,0.0903061965422095,0.0305675229842899,15000,0.497674574478781,0.360144924837928,0.264350053806884,0.27155533544589,0.122136040185736,706.827586206897,2e+05,0.570355089426012
"138","Miami-Fort Lauderdale-West Palm Beach, FL",3319110,33395,41,0.69831039043599,0.24743621030939,0.086971808707756,22000,0.515109773403111,0.681696599389595,0.324588820497061,0.219051191433848,1.00614321309026,1100,225000,0.668124788658859
"139","Michigan City-La Porte, IN",110774,344,40,0.662908263671981,0.132774838861105,0.0563128531965985,17738.0952380952,0.489456009532923,0.292974885803528,0.0311174102226154,0.225179193673606,0.310542184989257,529.010989010989,120000,0.346368500551264
"140","Midland, TX",161029,1152,31,0.607958814871855,0.163709642362556,0.0459979258394451,29000,0.492861534257804,0.325717727862683,0.146060647461016,0.294077464307671,0.715399089604978,1100,2e+05,0.582805042489649
"141","Milwaukee-Waukesha-West Allis, WI",1354604,19249,37,0.683273488045215,0.237442824618855,0.0796085055115739,25000,0.514576953855149,0.297352584223877,0.0917618728425429,0.249963088843677,1.42100569612964,700,190000,0.549620872532902
"142","Minneapolis-St. Paul-Bloomington, MN-WI",2903798,78038,36,0.708582690669255,0.307879886961834,0.105362012095883,30000,0.505702531649929,0.376895706932783,0.126426838230483,0.252731078401459,2.68744588983118,900,225000,0.437473475458036
"143","Mobile, AL",415090,3114,37,0.652971644703558,0.160977137488256,0.042696764557084,18000,0.525512539449276,0.268235804283408,0.0406827435014093,0.244108506588933,0.750198752077863,600,120000,0.54391933365092
"144","Modesto, CA",538021,1442,33,0.574172755338546,0.102345447482533,0.0333871726196561,17000,0.500789002659747,0.327031844481907,0.212865297079482,0.256973240821455,0.26801927805792,820,238408,0.605809919327748
"145","Monroe, LA",157118,1747,34.6056338028169,0.63204725111063,0.186579513486679,0.0659886200180756,14291.2037037037,0.526629666874578,0.1959291742512,0.019227586909202,0.261402258175384,1.11190315559007,495.959595959596,120000,0.516499269152644
"146","Monroe, MI",149419,468,42,0.698518929988823,0.134099411721401,0.046466647481244,24488.2096069869,0.510115848720712,0.382682255938,0.0246822693231784,0.204364906738768,0.313213179046841,635.652173913043,140000,0.158108890319447
"147","Muncie, IN",116910,451,35,0.736857411684201,0.154768625438371,0.0588486870242067,15155.9782608696,0.527243178513386,0.207390300230947,0.0144127961679925,0.307664015054315,0.385766829184843,530,85000,0.238662208996828
"148","Muskegon, MI",173208,1380,39,0.680950071590227,0.129659138146044,0.036332040090527,19000,0.502101519560297,0.173542792480717,0.0223661724631657,0.233089695626068,0.796729943189691,500,1e+05,0.38960816304302
"149","Myrtle Beach-Conway-North Myrtle Beach, SC-NC",432153,2397,46,0.728665542064963,0.195372935048467,0.0676450238688613,20000,0.513079858290929,0.597376392157407,0.0664741422598015,0.197263469187996,0.554664667374749,700,175000,0.371509477411783
"150","Napa, CA",142162,814,39,0.676917882415836,0.242638679815985,0.0757094019498881,28000,0.50557814324503,0.421209605942516,0.234753309604536,0.236547037886355,0.572586204470956,1400,5e+05,0.599408489255601
"151","Naples-Immokalee-Marco Island, FL",357170,2202,49,0.705753562729233,0.277954475459865,0.105885152728393,23000,0.506929473360025,0.776386594618809,0.247632779908727,0.179141585239522,0.61651314500098,1000,3e+05,0.514091242816421
"152","Nashville-Davidson--Murfreesboro--Franklin, TN",1493733,22552,35,0.691163681862823,0.265628462382501,0.0917339310305122,25000,0.513590447556558,0.476243746372344,0.101666763738901,0.264600835624573,1.50977450454666,800,2e+05,0.478093944353761
"153","New Bern, NC",103457,443,36,0.711368007964662,0.169210396589888,0.0587587113486763,23000,0.503503871173531,0.497810684632263,0.0463477580057415,0.27290565162338,0.428197222034275,683.963730569948,150000,0.50193641148388
"154","New Haven-Milford, CT",858244,12786,40,0.712658637869883,0.253574740982751,0.112689398352916,26339.1304347826,0.51633917627155,0.389469661308439,0.165290989508811,0.246549932187117,1.48978612142934,880,240000,0.54141757616693
"155","New Orleans-Metairie, LA",638758,4928,37,0.679316736541852,0.250461050977052,0.098099749827008,20000,0.520959424382943,0.289622987109359,0.0544008842159315,0.263846401923733,0.771497186727994,800,2e+05,0.58696756235081
"156","New York-Newark-Jersey City, NY-NJ-PA",19051133,291507,37,0.673057240217682,0.279240242561952,0.108499741196495,24000,0.516005111087094,0.458180151280241,0.320359371802191,0.255181410995346,1.53012946789044,1200,4e+05,0.688707405106979
"157","Niles-Benton Harbor, MI",154552,1539,41,0.698586883379057,0.206480666701175,0.0894844453646669,20407.0652173913,0.515257000879963,0.41816346601791,0.0812024431906413,0.211676329002536,0.995781355142606,540,130200,0.410403734232639
"158","North Port-Sarasota-Bradenton, FL",770618,8432,51,0.746861609772935,0.246572231637465,0.0959554539343748,23500,0.525380928034383,0.731503806036194,0.141341105450431,0.167526582561009,1.09418674362654,900,2e+05,0.37265419475828
"159","Norwich-New London, CT",272385,3036,40,0.730756098904125,0.23623547552178,0.0980597316298621,26122.5806451613,0.493151238137196,0.483734420030472,0.113398314885181,0.244213154175156,1.11459882152101,880,230000,0.408181707725998
"160","Ocala, FL",343055,2953,49,0.708854265351037,0.147139671481249,0.0494672865866989,19000,0.515380915596624,0.617644401043564,0.0950576438180467,0.184984914955328,0.860794916267071,600,120000,0.452724843221554
